epoch,train_loss,test_loss,train_acc,test_acc
1,0.5548756718635559,0.34087056737570537,0.7429130503673427,0.72125
2,0.2948428988456726,0.29219102309573264,0.8540035020436673,0.8550726318359375
3,0.26500415802001953,0.2637276684954053,0.8846847837334437,0.8885718994140624
4,0.2515062391757965,0.25701873039915446,0.8911779542632451,0.892284912109375
5,0.237911194562912,0.23256815881246612,0.8952681181446606,0.89403369140625
6,0.2194366753101349,0.24253978385102182,0.8995365370188327,0.8953704833984375
7,0.22328369319438934,0.22228244319558144,0.9005664547547599,0.8987000732421875
8,0.21029917895793915,0.2169821849536328,0.9048995466421772,0.9018321533203125
9,0.20846544206142426,0.20660591604454176,0.906423808723096,0.9131309814453125
10,0.18156325817108154,0.19780805831154188,0.9226045924306705,0.9162991943359375
11,0.16899578273296356,0.16122841293967904,0.9279894291959851,0.9311785888671875
12,0.15712599456310272,0.1572926729207947,0.9357384688017384,0.931973876953125
13,0.14265912771224976,0.14648416948815188,0.9401847384623344,0.9398428955078125
14,0.1278306543827057,0.13880582987552598,0.9462001371067881,0.9425286865234375
15,0.139557346701622,0.20751802960322016,0.9416370518160182,0.902930908203125
16,0.14193305373191833,0.12575908111674444,0.9396200622154387,0.9465552978515624
17,0.11433897912502289,0.11518346624714988,0.9514119735616722,0.9508040771484375
18,0.11069221049547195,0.12831725783291317,0.9533093180877483,0.94289892578125
19,0.10477641224861145,0.11308581878741582,0.9547515262831126,0.951798583984375
20,0.10439031571149826,0.11337183744070076,0.9556545232305463,0.951855224609375
