epoch,train_loss,test_loss,train_acc,test_acc
1,0.5395839810371399,1.4268381744623184,0.7117750155215232,0.72125
2,0.3826172947883606,0.29667525383688154,0.8170032627535182,0.8824332275390625
3,0.2677326202392578,0.2580962651187465,0.8820962463783113,0.89047119140625
4,0.2444717139005661,0.2406753141965185,0.8947248648334023,0.890314453125
5,0.23260413110256195,0.22872337947289148,0.8965672372982202,0.8949423828125
6,0.2187657207250595,0.22165704146027565,0.8994698429739238,0.9002188720703125
7,0.21146008372306824,0.20602516989622796,0.9052366547237168,0.907006103515625
8,0.2042820304632187,0.19546018682775043,0.9093332859064569,0.9121734619140625
9,0.18355077505111694,0.1796350001934029,0.9180184673789321,0.920880126953125
10,0.16994541883468628,0.1613867316572439,0.9272044604977235,0.9310086669921875
11,0.14662885665893555,0.22077813868721327,0.9376188366618378,0.91080859375
12,0.15934722125530243,0.1406091574047293,0.9318443449917219,0.940755859375
13,0.12750622630119324,0.12292302187000002,0.9470388652473096,0.9476015625
14,0.1177741289138794,0.12479840848772299,0.9514802844319122,0.9461993408203125
15,0.11408542841672897,0.17437051555940083,0.9521460122620033,0.9247452392578125
16,0.1137545183300972,0.11100824877974533,0.9517252334695778,0.9545325927734375
17,0.10385175049304962,0.10898563638329506,0.9569285815914735,0.9550869140625
18,0.10168599337339401,0.1293421955335708,0.959125038803808,0.9465152587890625
19,0.0961381196975708,0.09960066535997958,0.9594221304584023,0.959110595703125
20,0.08744829893112183,0.10003361939674332,0.9635284625931292,0.958499267578125
