epoch,train_loss,test_loss,train_acc,test_acc
1,0.63856440782547,0.6420631259679794,0.4491423550031043,0.27875
2,0.5917754769325256,0.4607544371059963,0.3318485487375828,0.647733642578125
3,0.46619975566864014,0.43183733380976175,0.6380186775662252,0.584320556640625
4,0.9242485761642456,0.9997719455332983,0.7226635257139901,0.72125
5,0.9997714161872864,0.9997719455332983,0.7250932099803394,0.72125
6,0.9997713565826416,0.9997719455332983,0.7250932099803394,0.72125
7,0.9997672438621521,0.9997719455332983,0.7250932099803394,0.72125
8,0.9997702240943909,0.9997719455332983,0.7250932099803394,0.72125
9,0.9997707009315491,0.9997719455332983,0.7250932099803394,0.72125
10,0.9997692108154297,0.9997719455332983,0.7250932099803394,0.72125
11,0.9997705221176147,0.9997719455332983,0.7250932099803394,0.72125
12,0.9997707009315491,0.9997719455332983,0.7250932099803394,0.72125
13,0.9997718930244446,0.9997719455332983,0.7250932099803394,0.72125
14,0.9997727274894714,0.9997719455332983,0.7250932099803394,0.72125
15,0.9997701644897461,0.9997719455332983,0.7250932099803394,0.72125
16,0.9997715353965759,0.9997719455332983,0.7250932099803394,0.72125
17,0.999772310256958,0.9997719455332983,0.7250932099803394,0.72125
18,0.9997721314430237,0.9997719455332983,0.7250932099803394,0.72125
19,0.9997700452804565,0.9997719455332983,0.7250932099803394,0.72125
20,0.9997718930244446,0.9997719455332983,0.7250932099803394,0.72125
