epoch,train_loss,test_loss,train_acc,test_acc
1,0.061079300940036774,0.054770570603154954,0.7069807242084023,0.72125
2,0.03269657865166664,0.029652529529162815,0.7250932099803394,0.72125
3,0.02847404219210148,0.028213637770109233,0.7727147790769867,0.8229609375
4,0.026497099548578262,0.02631057362027821,0.8679284102079884,0.869913330078125
5,0.025062454864382744,0.025635960844478438,0.8741786527317881,0.8808521728515625
6,0.024138107895851135,0.026080941116171225,0.8659178879087335,0.842846435546875
7,0.02305072359740734,0.025122472927683874,0.8734749295064156,0.869709228515625
8,0.0220064427703619,0.031097821026508297,0.8916658313069122,0.8382757568359375
9,0.022823777049779892,0.01994084532461351,0.8913942046512832,0.894796875
10,0.020029854029417038,0.01888998442639907,0.9012317783785182,0.9196773681640625
11,0.016990281641483307,0.017190505883523395,0.9182444187189569,0.90725927734375
12,0.01576998271048069,0.014992892021490704,0.9263006551376242,0.9231802978515625
13,0.013633016496896744,0.013186476914034713,0.9382954780629139,0.9451331787109375
14,0.013250547461211681,0.01469321747399157,0.9378379164942053,0.926757080078125
15,0.011833002790808678,0.014893274831896028,0.9457393418874173,0.914728271484375
16,0.011570699512958527,0.012138310775515578,0.9458456481529387,0.9334227294921875
17,0.009970758110284805,0.013779494157504468,0.9519431006829471,0.959293701171875
18,0.009628982283174992,0.011126229705821191,0.9549148256415563,0.952357666015625
19,0.00911456998437643,0.010661041685601785,0.9581104809085265,0.95822216796875
20,0.008267605677247047,0.010611496200518948,0.9619694387675911,0.9583155517578125
