epoch,train_loss,test_loss,train_acc,test_acc
1,0.598953127861023,0.5618500354744139,0.3259127787406871,0.27875
2,0.5638304948806763,0.5328355169012433,0.29994696812913907,0.27875
3,0.5036163330078125,0.41773874986739384,0.43766693721543876,0.7179371337890625
4,0.33012208342552185,0.2032656151623953,0.7660716479977235,0.8894810791015625
5,0.18273235857486725,0.19319997160207658,0.8921836196192053,0.876867431640625
6,0.17783835530281067,0.19167894763605936,0.8994205298013245,0.87874658203125
7,0.1713515669107437,0.17169071379162015,0.8998869839093543,0.8956082763671875
8,0.14676575362682343,0.1342782782656806,0.9179356050807119,0.925564208984375
9,0.1274704486131668,0.11552152960073381,0.9313892086610099,0.9340517578125
10,0.11774582415819168,0.11742323991798219,0.9352623137417219,0.9317987060546875
11,0.10442010313272476,0.117294851513136,0.9422263846492136,0.9407598876953125
12,0.09440384060144424,0.09011278904619671,0.9482122762313742,0.9522470703125
13,0.08100954443216324,0.11496242526031676,0.9551468400765728,0.9321826171875
14,0.0828774943947792,0.07766603855859666,0.9552228308671358,0.9576048583984375
15,0.0777556300163269,0.10101279545397986,0.9579904316276904,0.9416934814453125
16,0.07419437170028687,0.07334474580628532,0.9592948054635762,0.95993603515625
17,0.06510437279939651,0.07547579421883538,0.9646549856425911,0.960019775390625
18,0.06500133872032166,0.06829873082183656,0.9648364742860099,0.9624603271484375
19,0.06438589841127396,0.07333864200682867,0.9643954851769454,0.96148193359375
20,0.0620771124958992,0.07197265468892597,0.9660725372516556,0.9622117919921875
